ts_ms,ts_iso,run_yes_bid,run_yes_ask,run_yes_mid,run_spread_cents,run_yes_bid_qty,run_yes_ask_qty,run_tight_spread,run_wide_spread,run_untradeable,b365_state,fd_state,dk_state
1788284109686,2026-09-01T17:35:09.686000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284109887,2026-09-01T17:35:09.887000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284110088,2026-09-01T17:35:10.088000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284110288,2026-09-01T17:35:10.288000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284110489,2026-09-01T17:35:10.489000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284110690,2026-09-01T17:35:10.690000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284110891,2026-09-01T17:35:10.891000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284111092,2026-09-01T17:35:11.092000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284111293,2026-09-01T17:35:11.293000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284111493,2026-09-01T17:35:11.493000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284111694,2026-09-01T17:35:11.694000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284111895,2026-09-01T17:35:11.895000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284112096,2026-09-01T17:35:12.096000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284112297,2026-09-01T17:35:12.297000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284112497,2026-09-01T17:35:12.497000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284112698,2026-09-01T17:35:12.698000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284112899,2026-09-01T17:35:12.899000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284113100,2026-09-01T17:35:13.100000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284113301,2026-09-01T17:35:13.301000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284113502,2026-09-01T17:35:13.502000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284113703,2026-09-01T17:35:13.703000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284113904,2026-09-01T17:35:13.904000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284114105,2026-09-01T17:35:14.105000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284114305,2026-09-01T17:35:14.305000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284114506,2026-09-01T17:35:14.506000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284114707,2026-09-01T17:35:14.707000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284114908,2026-09-01T17:35:14.908000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284115108,2026-09-01T17:35:15.108000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284115309,2026-09-01T17:35:15.309000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284115510,2026-09-01T17:35:15.510000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284115711,2026-09-01T17:35:15.711000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284115912,2026-09-01T17:35:15.912000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284116113,2026-09-01T17:35:16.113000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284116314,2026-09-01T17:35:16.314000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284116515,2026-09-01T17:35:16.515000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284116716,2026-09-01T17:35:16.716000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284116916,2026-09-01T17:35:16.916000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284117117,2026-09-01T17:35:17.117000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284117317,2026-09-01T17:35:17.317000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284117518,2026-09-01T17:35:17.518000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284117719,2026-09-01T17:35:17.719000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284117919,2026-09-01T17:35:17.919000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284118120,2026-09-01T17:35:18.120000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284118321,2026-09-01T17:35:18.321000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284118522,2026-09-01T17:35:18.522000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284118722,2026-09-01T17:35:18.722000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284118923,2026-09-01T17:35:18.923000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284119124,2026-09-01T17:35:19.124000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284119325,2026-09-01T17:35:19.325000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284119526,2026-09-01T17:35:19.526000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284119727,2026-09-01T17:35:19.727000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284119928,2026-09-01T17:35:19.928000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284120128,2026-09-01T17:35:20.128000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284120329,2026-09-01T17:35:20.329000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284120530,2026-09-01T17:35:20.530000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284120731,2026-09-01T17:35:20.731000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284120932,2026-09-01T17:35:20.932000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284121133,2026-09-01T17:35:21.133000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284121334,2026-09-01T17:35:21.334000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284121535,2026-09-01T17:35:21.535000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284121736,2026-09-01T17:35:21.736000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284121937,2026-09-01T17:35:21.937000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284122138,2026-09-01T17:35:22.138000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284122339,2026-09-01T17:35:22.339000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284122540,2026-09-01T17:35:22.540000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284122740,2026-09-01T17:35:22.740000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284122941,2026-09-01T17:35:22.941000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284123142,2026-09-01T17:35:23.142000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284123343,2026-09-01T17:35:23.343000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284123543,2026-09-01T17:35:23.543000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284123744,2026-09-01T17:35:23.744000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284123945,2026-09-01T17:35:23.945000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284124146,2026-09-01T17:35:24.146000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284124347,2026-09-01T17:35:24.347000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284124548,2026-09-01T17:35:24.548000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284124749,2026-09-01T17:35:24.749000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284124950,2026-09-01T17:35:24.950000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284125151,2026-09-01T17:35:25.151000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284125352,2026-09-01T17:35:25.352000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284125552,2026-09-01T17:35:25.552000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284125753,2026-09-01T17:35:25.753000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284125954,2026-09-01T17:35:25.954000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284126155,2026-09-01T17:35:26.155000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284126356,2026-09-01T17:35:26.356000+00:00,,,,,0,0,False,False,True,UP,UP,UP
